biz_date,oil_dtd_spot,luowen_steel_future,gold_comex_future,csi300_index,
2000-01-05,,,281.1,,
2000-01-07,,,282.9,,
2000-01-10,,,282.7,,
2000-01-11,,,284.4,,
2000-01-12,,,283.7,,
2000-01-13,,,285.1,,
2000-01-14,,,284.9,,
2000-01-18,,,289.6,,
2000-01-19,,,290.3,,
2000-01-20,,,290.7,,
2000-01-21,,,289.7,,
2000-01-24,,,288.1,,
2000-01-25,,,287.9,,
2000-01-26,,,286.5,,
2000-01-27,,,287.1,,
2000-01-28,,,283,,
2000-01-31,,,286.2,,
2000-02-01,,,285.4,,
2000-02-02,,,287.7,,
2000-02-03,,,289.9,,
2000-02-04,,,313,,
2000-02-07,,,304.5,,
2000-02-08,,,301.7,,
2000-02-09,,,308.6,,
2000-02-10,,,318.7,,
2000-02-11,,,313.6,,
2000-02-14,,,311,,
2000-02-15,,,304.1,,
2000-02-16,,,305,,
2000-02-17,,,303.8,,
2000-02-18,,,307.3,,
2000-02-22,,,307.7,,
2000-02-23,,,302.4,,
2000-02-24,,,300.9,,
2000-02-25,,,294.6,,
2000-02-28,,,294.2,,
2000-02-29,,,294.2,,
2000-03-01,,,293.3,,
2000-03-02,,,289.7,,
2000-03-03,,,290.3,,
2000-03-06,,,289.4,,
2000-03-07,,,293.7,,
2000-03-08,,,290.4,,
2000-03-09,,,292.7,,
2000-03-10,,,290,,
2000-03-13,,,291.5,,
2000-03-14,,,289.7,,
2000-03-15,,,289.6,,
2000-03-16,,,287,,
2000-03-17,,,285,,
2000-03-20,,,286.5,,
2000-03-21,,,290.4,,
2000-03-22,,,288.3,,
2000-03-23,,,285.4,,
2000-03-24,,,285.1,,
2000-03-27,,,280.5,,
2000-03-28,,,279.5,,
2000-03-29,,,275.9,,
2000-03-30,,,279.1,,
2000-03-31,,,281.4,,
2000-04-03,,,280.4,,
2000-04-04,,,286.6,,
2000-04-05,,,283.8,,
2000-04-06,,,282.7,,
2000-04-07,,,282.5,,
2000-04-10,,,284,,
2000-04-11,,,283.7,,
2000-04-12,,,283.5,,
2000-04-13,,,283.2,,
2000-04-14,,,284.6,,
2000-04-17,,,284.2,,
2000-04-18,,,283,,
2000-04-19,,,282.5,,
2000-04-20,,,281.5,,
2000-04-24,,,281.2,,
2000-04-25,,,279.8,,
