biz_month,investment_real_estate_ratio,new_area_ratio,working_area_ratio,finish_area_ratio,saled_area_ratio,saled_amount_ratio
2000-02,19.80 ,43.50 ,10.60 ,27.40 ,53.30 ,60.70 
2000-03,20.40 ,34.80 ,7.80 ,13.60 ,35.70 ,42.40 
2000-04,20.90 ,33.60 ,8.00 ,10.30 ,35.80 ,40.90 
2000-05,20.80 ,33.80 ,8.00 ,15.90 ,37.80 ,41.50 
2000-06,22.40 ,32.50 ,10.10 ,21.00 ,36.70 ,38.40 
2000-07,24.10 ,32.70 ,11.60 ,19.10 ,38.00 ,38.60 
2000-08,24.30 ,32.30 ,12.80 ,21.70 ,40.10 ,42.80 
2000-09,25.00 ,31.80 ,13.50 ,22.30 ,38.90 ,40.20 
2000-10,24.60 ,31.00 ,14.40 ,18.20 ,36.10 ,36.40 
2000-11,24.10 ,31.60 ,14.20 ,20.10 ,35.30 ,38.30 
2000-12,19.50 ,30.60 ,15.30 ,16.40 ,26.90 ,30.10 
2001-02,23.00 ,30.30 ,25.50 ,13.80 ,38.00 ,54.10 
2001-03,22.90 ,29.40 ,21.60 ,29.80 ,31.40 ,48.90 
2001-04,22.80 ,29.60 ,21.50 ,34.40 ,30.00 ,45.20 
2001-05,26.50 ,31.00 ,21.70 ,26.40 ,28.30 ,44.10 
2001-06,28.20 ,33.20 ,21.20 ,17.50 ,25.90 ,39.80 
2001-07,31.60 ,36.00 ,22.30 ,18.00 ,26.90 ,40.80 
2001-08,32.10 ,36.60 ,22.70 ,20.20 ,26.60 ,38.30 
2001-09,31.40 ,37.20 ,22.80 ,19.10 ,26.60 ,36.80 
2001-10,31.40 ,34.90 ,22.50 ,18.70 ,23.30 ,33.60 
2001-11,29.70 ,32.50 ,21.60 ,17.60 ,21.60 ,29.00 
2001-12,25.30 ,27.20 ,21.50 ,18.60 ,22.30 ,29.40 
2002-02,30.20 ,30.50 ,18.30 ,10.10 ,5.20 ,0.20 
2002-03,36.20 ,26.10 ,20.90 ,20.80 ,17.70 ,16.70 
2002-04,38.80 ,28.00 ,23.50 ,19.20 ,20.70 ,19.30 
2002-05,36.70 ,22.30 ,21.90 ,18.70 ,20.30 ,16.30 
2002-06,32.90 ,19.80 ,22.20 ,20.40 ,22.50 ,22.40 
2002-07,30.70 ,18.00 ,22.70 ,24.30 ,20.80 ,22.40 
2002-08,30.00 ,17.50 ,22.10 ,26.00 ,22.30 ,25.30 
2002-09,29.40 ,18.20 ,22.10 ,26.40 ,24.00 ,31.90 
2002-10,29.80 ,19.60 ,22.50 ,27.50 ,27.60 ,35.40 
2002-11,28.20 ,19.10 ,22.60 ,28.30 ,29.80 ,37.10 
2002-12,22.00 ,17.60 ,20.10 ,19.10 ,20.20 ,23.70 
2003-02,37.00 ,49.70 ,31.60 ,74.80 ,68.90 ,76.10 
2003-03,34.90 ,35.90 ,29.00 ,45.80 ,45.20 ,52.70 
2003-04,33.50 ,31.70 ,25.80 ,38.00 ,36.40 ,46.60 
2003-05,32.90 ,32.00 ,28.10 ,41.40 ,37.50 ,47.20 
2003-06,34.00 ,31.00 ,27.90 ,40.40 ,37.40 ,44.80 
2003-07,34.10 ,29.90 ,27.90 ,37.70 ,38.00 ,43.90 
2003-08,33.10 ,31.20 ,27.70 ,32.80 ,35.00 ,41.10 
2003-09,32.80 ,30.40 ,27.80 ,34.90 ,35.90 ,41.40 
2003-10,31.30 ,29.60 ,27.60 ,33.30 ,34.00 ,40.60 
2003-11,32.50 ,29.90 ,27.30 ,29.00 ,32.00 ,38.30 
2003-12,29.70 ,28.50 ,26.00 ,21.50 ,29.10 ,34.10 
2004-02,57.10 ,32.30 ,44.60 ,30.30 ,42.70 ,47.80 
2004-03,41.10 ,22.50 ,32.80 ,21.30 ,35.40 ,44.40 
2004-04,34.60 ,19.30 ,31.00 ,22.90 ,33.30 ,42.50 
2004-05,32.00 ,18.70 ,28.70 ,21.40 ,30.90 ,44.90 
2004-06,28.70 ,15.20 ,25.80 ,15.60 ,26.30 ,40.90 
2004-07,28.60 ,14.90 ,24.30 ,12.90 ,25.20 ,41.40 
2004-08,28.80 ,13.70 ,24.30 ,11.60 ,23.00 ,39.70 
2004-09,28.30 ,12.20 ,23.30 ,9.50 ,19.30 ,34.80 
2004-10,28.90 ,11.70 ,22.30 ,9.80 ,18.00 ,31.90 
2004-11,29.20 ,11.70 ,21.70 ,11.70 ,18.50 ,33.30 
2004-12,28.10 ,10.40 ,19.20 ,2.10 ,13.70 ,30.00 
2005-02,27.00 ,1.00 ,17.20 ,21.30 ,15.40 ,37.30 
2005-03,26.70 ,9.30 ,19.20 ,13.10 ,20.30 ,35.30 
2005-04,25.90 ,12.40 ,20.00 ,13.00 ,16.00 ,30.50 
2005-05,24.30 ,11.40 ,18.80 ,13.80 ,13.90 ,24.10 
2005-06,23.50 ,10.90 ,18.80 ,16.30 ,14.00 ,25.60 
2005-07,23.50 ,13.30 ,19.80 ,24.00 ,22.90 ,34.90 
2005-08,22.30 ,13.00 ,18.90 ,24.70 ,24.30 ,35.90 
2005-09,22.20 ,13.20 ,18.70 ,19.90 ,23.00 ,33.80 
2005-10,21.60 ,12.50 ,18.50 ,19.60 ,22.20 ,33.60 
2005-11,22.20 ,12.30 ,18.50 ,18.60 ,20.80 ,33.30 
2005-12,20.90 ,10.60 ,17.10 ,14.90 ,15.70 ,30.00 
2006-02,19.70 ,28.30 ,25.70 ,44.30 ,7.80 ,14.70 
2006-03,20.20 ,22.10 ,23.30 ,35.90 ,10.20 ,13.40 
2006-04,21.30 ,21.90 ,22.10 ,31.50 ,9.40 ,13.60 
