biz_month,cpi,cpi_food,ppi,ppirm,energy_price_index,non-manufacturing_pmi,m2_ratio,credit_ratio,social finance_ratio
2000-01,-0.20 ,-3.10 ,0.03 ,2.10 ,,,14.33 ,,
2000-02,0.70 ,-1.40 ,1.20 ,3.61 ,,,13.51 ,,
2000-03,-0.20 ,-3.30 ,1.87 ,4.79 ,,,13.38 ,,
2000-04,-0.30 ,-3.90 ,2.59 ,5.30 ,,,14.46 ,,
2000-05,0.10 ,-3.10 ,0.67 ,5.50 ,,,14.01 ,,
2000-06,0.50 ,-2.40 ,2.95 ,7.10 ,,,14.39 ,,
2000-07,0.50 ,-2.40 ,4.50 ,8.60 ,,,15.55 ,,
2000-08,0.30 ,-2.60 ,3.92 ,4.60 ,,,14.82 ,,
2000-09,0.00 ,-3.70 ,3.70 ,5.10 ,,,15.27 ,,
2000-10,0.00 ,-3.70 ,3.60 ,5.20 ,,,14.20 ,,
2000-11,1.30 ,-1.00 ,3.50 ,5.00 ,,,15.15 ,,
2000-12,1.50 ,-0.10 ,2.80 ,4.70 ,,,13.99 ,,
2001-01,1.20 ,-0.40 ,1.43 ,3.60 ,,,15.16 ,,
2001-02,0.00 ,-3.30 ,0.90 ,2.70 ,,,15.20 ,,
2001-03,0.80 ,-1.00 ,0.20 ,2.10 ,,,14.83 ,,
2001-04,1.60 ,1.30 ,-0.10 ,1.00 ,,,13.94 ,,
2001-05,1.70 ,1.70 ,-0.20 ,1.10 ,,,14.48 ,,
2001-06,1.40 ,1.00 ,-0.60 ,0.50 ,,,14.30 ,,
2001-07,1.50 ,1.50 ,-1.30 ,-0.40 ,,,13.50 ,,
2001-08,1.00 ,0.20 ,-2.00 ,-1.30 ,,,13.60 ,,
2001-09,-0.10 ,0.30 ,-2.90 ,-1.80 ,,,13.60 ,,
2001-10,0.20 ,0.80 ,-3.10 ,-2.50 ,,,12.90 ,,
2001-11,-0.30 ,-0.80 ,-3.70 ,-3.50 ,,,13.20 ,,
2001-12,-0.30 ,-0.70 ,-4.00 ,-4.10 ,,,14.40 ,,
2002-01,-1.00 ,-1.90 ,-4.20 ,-4.80 ,,,13.10 ,32.54,
2002-02,0.00 ,0.60 ,-4.20 ,-4.64 ,,,13.00 ,29.21,
2002-03,-0.80 ,-0.60 ,-4.00 ,-4.70 ,,,14.40 ,30.55,
