biz_date,treasury_bond_rate_1m,treasury_bond_rate_3m,treasury_bond_rate_6m,treasury_bond_rate_1y,treasury_bond_rate_3y,treasury_bond_rate_10y,cdb_rate_6m,cdb_rate_1y,cdb_rate_3y,cdb_rate_10y,loc_rate_6m,loc_rate_1y,loc_rate_3y,loc_rate_10y,cdi_rate_6m,cdi_rate_1y,cdi_rate_3y,cdi_rate_10y,com_rate_1m,com_rate_3m,com_rate_6m,com_rate_1y,com_rate_3y,com_rate_10y
2021-02-19,1.8675 ,2.0274 ,2.3302 ,2.6512 ,2.8922 ,3.2578 ,2.3999 ,2.7435 ,3.2708 ,3.7411 ,2.4438 ,2.6918 ,3.0829 ,3.5680 ,3.0876 ,3.2604 ,3.7489 ,4.2375 ,2.6393 ,2.9212 ,3.1151 ,3.1937 ,3.7292 ,4.1458 
2021-02-20,1.8147 ,2.0174 ,2.2902 ,2.6249 ,2.8790 ,3.2605 ,2.4081 ,2.7483 ,3.2688 ,3.7411 ,2.4038 ,2.6656 ,3.0697 ,3.5707 ,3.0858 ,3.2599 ,3.7492 ,4.2378 ,2.5995 ,2.9352 ,3.1187 ,3.1892 ,3.7305 ,4.1461 
2021-02-22,1.8214 ,2.0488 ,2.2852 ,2.6225 ,2.8935 ,3.2736 ,2.4131 ,2.7230 ,3.2488 ,3.7510 ,2.3723 ,2.6632 ,3.0953 ,3.5681 ,3.0902 ,3.2556 ,3.7258 ,4.2378 ,2.5946 ,2.9035 ,3.1053 ,3.1871 ,3.7146 ,4.1390 
2021-02-23,1.8488 ,2.0194 ,2.2813 ,2.6070 ,2.8802 ,3.2635 ,2.4181 ,2.7308 ,3.2220 ,3.7370 ,2.3587 ,2.6477 ,3.0896 ,3.5723 ,3.1498 ,3.2881 ,3.7276 ,4.2279 ,2.6036 ,2.9088 ,3.0640 ,3.1594 ,3.7197 ,4.1291 
2021-02-24,1.8434 ,2.0000 ,2.2450 ,2.5935 ,2.8746 ,3.2627 ,2.4081 ,2.6983 ,3.2245 ,3.7385 ,2.3405 ,2.6643 ,3.0979 ,3.5653 ,3.1306 ,3.2593 ,3.7039 ,4.2282 ,2.5803 ,2.8989 ,3.0618 ,3.1587 ,3.7074 ,4.1294 
2021-02-25,1.7812 ,1.9703 ,2.2363 ,2.5981 ,2.8822 ,3.2723 ,2.4181 ,2.7099 ,3.2195 ,3.7454 ,2.3056 ,2.6621 ,3.0877 ,3.5618 ,3.0996 ,3.2350 ,3.6984 ,4.2281 ,2.5878 ,2.8621 ,3.0685 ,3.1541 ,3.6902 ,4.1293 
2021-02-26,1.7312 ,1.9879 ,2.2508 ,2.6036 ,2.9028 ,3.2798 ,2.4326 ,2.7380 ,3.2310 ,3.7542 ,2.2927 ,2.6676 ,3.0821 ,3.5700 ,3.0592 ,3.2236 ,3.7102 ,4.2346 ,2.5496 ,2.8279 ,3.0514 ,3.1625 ,3.6724 ,4.1358 
2021-03-01,1.7062 ,2.0012 ,2.2472 ,2.6096 ,2.8985 ,3.2475 ,2.4326 ,2.7489 ,3.2044 ,3.7088 ,2.2914 ,2.6514 ,3.0657 ,3.5580 ,3.0473 ,3.2099 ,3.6890 ,4.2346 ,2.5429 ,2.8065 ,3.0566 ,3.1510 ,3.6618 ,4.1272 
2021-03-02,1.7791 ,2.0857 ,2.2907 ,2.6169 ,2.8941 ,3.2474 ,2.4205 ,2.7406 ,3.2092 ,3.7065 ,2.3349 ,2.6587 ,3.0461 ,3.5579 ,3.0153 ,3.1962 ,3.6672 ,4.2349 ,2.5499 ,2.8305 ,3.0148 ,3.1340 ,3.6426 ,4.1275 
2021-03-03,1.7791 ,2.0770 ,2.3104 ,2.6203 ,2.9173 ,3.2553 ,2.4168 ,2.7380 ,3.2102 ,3.7042 ,2.3349 ,2.6424 ,3.0492 ,3.5658 ,2.9781 ,3.1721 ,3.6730 ,4.2351 ,2.5599 ,2.8312 ,2.9903 ,3.0996 ,3.6348 ,4.1277 
2021-03-04,1.7791 ,2.0687 ,2.3104 ,2.6365 ,2.9362 ,3.2655 ,2.4159 ,2.7420 ,3.2396 ,3.7092 ,2.3224 ,2.6560 ,3.0416 ,3.5760 ,2.9732 ,3.1547 ,3.6743 ,4.2409 ,2.5622 ,2.8366 ,2.9817 ,3.0790 ,3.6213 ,4.1335 
2021-03-05,1.7791 ,2.0591 ,2.1904 ,2.6390 ,2.9194 ,3.2457 ,2.4097 ,2.7265 ,3.2211 ,3.6742 ,2.2024 ,2.6584 ,3.0350 ,3.5716 ,2.9609 ,3.1418 ,3.6628 ,4.2131 ,2.5504 ,2.8575 ,2.9925 ,3.1007 ,3.6022 ,4.1057 
2021-03-08,1.8021 ,2.0512 ,2.2908 ,2.6540 ,2.9353 ,3.2404 ,2.4019 ,2.7268 ,3.2218 ,3.6492 ,2.3028 ,2.6734 ,3.0724 ,3.5725 ,2.9407 ,3.1440 ,3.6502 ,4.2247 ,2.5494 ,2.8292 ,2.9871 ,3.0890 ,3.5845 ,4.1173 
2021-03-09,1.7870 ,2.0740 ,2.3028 ,2.6340 ,2.9552 ,3.2478 ,2.3839 ,2.7260 ,3.2348 ,3.6500 ,2.3148 ,2.6546 ,3.0777 ,3.5690 ,2.9310 ,3.1546 ,3.6559 ,4.2147 ,2.6382 ,2.8165 ,2.9528 ,3.0897 ,3.5846 ,4.1073 
2021-03-10,1.7899 ,2.0656 ,2.3222 ,2.6264 ,2.9447 ,3.2353 ,2.3762 ,2.7228 ,3.2301 ,3.6400 ,2.3342 ,2.6546 ,3.0754 ,3.5340 ,2.9214 ,3.1564 ,3.6464 ,4.2012 ,2.6452 ,2.8128 ,2.9388 ,3.0948 ,3.5846 ,4.0938 
