biz_date,treasury_bond_rate_1m,treasury_bond_rate_3m,treasury_bond_rate_6m,treasury_bond_rate_1y,treasury_bond_rate_3y,treasury_bond_rate_10y,cdb_rate_6m,cdb_rate_1y,cdb_rate_3y,cdb_rate_10y,loc_rate_6m,loc_rate_1y,loc_rate_3y,loc_rate_10y,cdi_rate_6m,cdi_rate_1y,cdi_rate_3y,cdi_rate_10y,com_rate_1m,com_rate_3m,com_rate_6m,com_rate_1y,com_rate_3y,com_rate_10y,oil_dtd_spot,luowen_steel_future,gold_comex_future,csi300_index,investment_real_estate_ratio,new_area_ratio,working_area_ratio,finish_area_ratio,saled_area_ratio,saled_amount_ratio,fixedinvestment_used,cpi,cpi_food,ppi,ppirm,energy_price_index,non-manufacturing_pmi,m2_ratio,credit_ratio,social finance_ratio
2008-08-21,2.5557,3.18,3.4181,3.5205,3.878,4.3689,3.9069,4.114,4.6583,5.1,0.0,0.0,0.0,0.0,4.5655,4.82,5.3948,6.132,3.1172,3.7609,4.4655,4.72,5.2948,6.032,117.43,0.0,839.0,2443.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-22,2.5385,3.21,3.4202,3.5012,3.9025,4.3554,3.8825,4.1647,4.619,5.1001,0.0,0.0,0.0,0.0,4.6155,4.87,5.448,6.182,3.1118,3.7273,4.4411,4.75,5.2923,6.0,114.39,0.0,833.5,2404.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-25,2.5517,3.1943,3.3989,3.5012,3.8231,4.3431,3.8728,4.1385,4.6226,5.0899,0.0,0.0,0.0,0.0,4.62,4.905,5.5,6.205,3.1114,3.7233,4.42,4.7059,5.2969,5.9898,110.99,0.0,825.7,2400.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-26,2.5291,3.1917,3.4043,3.5,3.8167,4.3292,3.8747,4.1392,4.604,5.06,0.0,0.0,0.0,0.0,4.63,4.955,5.55,6.21,3.0989,3.6752,4.38,4.73,5.2969,5.94,112.44,0.0,828.1,2331.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-27,2.5275,3.1882,3.3994,3.4999,3.8086,4.3096,3.8789,4.1348,4.5932,5.042,0.0,0.0,0.0,0.0,4.6342,4.95,5.565,6.25,3.1409,3.6876,4.37,4.725,5.3105,5.96,113.04,0.0,834.0,2325.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-28,2.5291,3.188,3.3887,3.4872,3.7858,4.2753,3.825,4.126,4.5495,5.01,0.0,0.0,0.0,0.0,4.5842,4.937,5.56,6.2445,3.1429,3.6529,4.325,4.717,5.3067,5.9969,113.41,0.0,837.2,2335.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-29,2.5467,3.1661,3.3867,3.487,3.7681,4.2234,3.83,4.11,4.5243,4.97,0.0,0.0,0.0,0.0,4.59,4.931,5.562,6.2792,3.1454,3.6602,4.33,4.711,5.3089,5.9814,113.56,0.0,835.2,2391.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-01,2.5334,3.1635,3.3865,3.4863,3.701,4.1363,3.8531,4.14,4.484,4.94,0.0,0.0,0.0,0.0,4.62,4.956,5.563,6.252,3.166,3.6999,4.38,4.75,5.3091,5.9852,107.78,0.0,0.0,2309.17,26.5,10.2,20.3,9.7,-14.9,-15.0,0.0,4.6,9.7,9.13,13.96,135.68,0.0,15.29,12.22,0.0
2008-09-02,2.5937,3.1179,3.2882,3.436,3.705,4.1714,3.825,4.13,4.4698,4.9345,0.0,0.0,0.0,0.0,4.66,5.01,5.55,6.23,3.2013,3.7346,4.42,4.8,5.3078,5.95,105.36,0.0,810.5,2285.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-03,2.5566,3.1519,3.225,3.4,3.6977,4.1411,3.855,4.135,4.4597,4.9362,0.0,0.0,0.0,0.0,4.67,5.015,5.52,6.1834,3.2103,3.7627,4.45,4.805,5.2778,5.9,104.94,0.0,808.2,2245.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
